flyID,in:ClassroomSize,in:ClassroomHeight,in:AmountOfWindows,in:WindowVariation,in:HeightScale,in:WidthScale,in:SillHeight,in:WindowShape,out:FinalTemperature,out:FinalCost,out:DaylightScores
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleNot_SillHeight0.5_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Not,0.5,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleNot_SillHeight0.5_WindowShapeRound,6.9,3.2,1,Equal,Not,Not,0.5,Round,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleNot_SillHeight0.7_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Not,0.7,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleNot_SillHeight0.7_WindowShapeRound,6.9,3.2,1,Equal,Not,Not,0.7,Round,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleNot_SillHeight0.9_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Not,0.9,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleNot_SillHeight0.9_WindowShapeRound,6.9,3.2,1,Equal,Not,Not,0.9,Round,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleUp_SillHeight0.5_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Up,0.5,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleUp_SillHeight0.5_WindowShapeRound,6.9,3.2,1,Equal,Not,Up,0.5,Round,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleUp_SillHeight0.7_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Up,0.7,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleUp_SillHeight0.7_WindowShapeRound,6.9,3.2,1,Equal,Not,Up,0.7,Round,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleUp_SillHeight0.9_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Up,0.9,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleUp_SillHeight0.9_WindowShapeRound,6.9,3.2,1,Equal,Not,Up,0.9,Round,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleDown_SillHeight0.5_WindowShapeRectangular,6.9,3.2,1,Equal,Not,Down,0.5,Rectangular,20,390,4
ClassroomSize6.9_ClassroomHeight3.2_AmountOfWindows1_WindowVariationEqual_HeightScaleNot_WidthScaleDown_SillHeight0.5_WindowShapeRound,6.9,3.2,1,Equal,Not,Down,0.5,Round,20,390,4
