flyID,in:H,in:Typology,in:Conf,in:FlC,in:Str,in:Sides,in:MF,out:ApartmentCount,out:SocialCount,out:MidCount,out:FreeCount,out:SocialRatio,out:MidRatio,out:FreeRatio,out:TotalBVO,out:TotalGO,out:Efficiency,out:ParkingRequired,out:GroundFloorBVO,out:FSI,out:GSI,out:TotalPotentialRevenue,out:ResidentialPotentialRevenue,out:ParkingPotentialRevenue,out:TotalCost,out:ResidentialCost,out:ParkingCost,out:ProjectDevelopmentCost,out:UnforseenCost,out:ResidualValue
H30_TypologyI_ConfL_FlCYes_StrNarrow_SidesNarrow_MFFree,30,I,L,Yes,Narrow,Narrow,Free,90,0,72,18,0,0.8,0.2,7187.4,6548.45,0.91,58,718.74,9.98,1,24.111,22.951,1.16,13.709,10.242,0.725,1.645,1.097,10.402
H30_TypologyI_ConfL_FlCYes_StrNarrow_SidesWide_MFMid,30,I,L,Yes,Narrow,Wide,Mid,90,0,72,18,0,0.8,0.2,7187.4,6548.45,0.91,58,718.74,9.98,1,24.111,22.951,1.16,13.709,10.242,0.725,1.645,1.097,10.402
H30_TypologyI_ConfL_FlCYes_StrNarrow_SidesWide_MFFree,30,I,L,Yes,Narrow,Wide,Free,90,0,72,18,0,0.8,0.2,7187.4,6548.45,0.91,58,718.74,9.98,1,24.111,22.951,1.16,13.709,10.242,0.725,1.645,1.097,10.402
H30_TypologyI_ConfL_FlCYes_StrNarrow_SidesMixed_MFMid,30,I,L,Yes,Narrow,Mixed,Mid,81,0,63,18,0,0.78,0.22,6588.45,6001.85,0.91,53,658.84,9.15,0.92,21.995,20.935,1.06,12.467,9.311,0.662,1.496,0.997,9.529
H30_TypologyI_ConfL_FlCYes_StrNarrow_SidesMixed_MFFree,30,I,L,Yes,Narrow,Mixed,Free,81,0,63,18,0,0.78,0.22,6588.45,6001.85,0.91,53,658.84,9.15,0.92,21.995,20.935,1.06,12.467,9.311,0.662,1.496,0.997,9.529
H30_TypologyI_ConfL_FlCYes_StrWide_SidesNarrow_MFMid,30,I,L,Yes,Wide,Narrow,Mid,72,0,18,54,0,0.25,0.75,7187.4,6591.11,0.92,54,718.74,9.98,1,25.588,24.508,1.08,13.646,10.242,0.675,1.638,1.092,11.942
H30_TypologyI_ConfL_FlCYes_StrWide_SidesNarrow_MFFree,30,I,L,Yes,Wide,Narrow,Free,72,0,18,54,0,0.25,0.75,7187.4,6591.11,0.92,54,718.74,9.98,1,25.588,24.508,1.08,13.646,10.242,0.675,1.638,1.092,11.942
H30_TypologyI_ConfL_FlCYes_StrWide_SidesWide_MFMid,30,I,L,Yes,Wide,Wide,Mid,72,0,36,36,0,0.5,0.5,6588.45,6023.18,0.91,51,658.84,9.15,0.92,22.734,21.714,1.02,12.436,9.311,0.638,1.492,0.995,10.298
H30_TypologyI_ConfL_FlCYes_StrWide_SidesWide_MFFree,30,I,L,Yes,Wide,Wide,Free,72,0,36,36,0,0.5,0.5,6588.45,6023.18,0.91,51,658.84,9.15,0.92,22.734,21.714,1.02,12.436,9.311,0.638,1.492,0.995,10.298
H30_TypologyI_ConfL_FlCYes_StrWide_SidesMixed_MFMid,30,I,L,Yes,Wide,Mixed,Mid,63,0,27,36,0,0.43,0.57,5989.5,5476.58,0.91,45,598.95,8.32,0.83,20.598,19.698,0.9,11.178,8.38,0.562,1.341,0.894,9.42
