flyID,in:Type,in:Length,in:Width,in:Size,in:Layout,out:Efficiency,out:AptSize,out:AptCount
TypeCentral_Length200_Width535_SizeStudio_LayoutA,Central,200,535,Studio,A,71.81,62.23,3
TypeCentral_Length200_Width535_SizeStudio_LayoutB,Central,200,535,Studio,B,71.81,62.23,3
TypeCentral_Length200_Width535_SizeStudio_LayoutC,Central,200,535,Studio,C,71.81,62.23,3
TypeCentral_Length200_Width535_Size2room_LayoutA,Central,200,535,2room,A,71.81,62.23,3
TypeCentral_Length200_Width535_Size2room_LayoutB,Central,200,535,2room,B,71.81,62.23,3
TypeCentral_Length200_Width535_Size2room_LayoutC,Central,200,535,2room,C,71.81,62.23,3
TypeCentral_Length200_Width535_Size3room_LayoutA,Central,200,535,3room,A,71.81,93.35,2
TypeCentral_Length200_Width535_Size3room_LayoutB,Central,200,535,3room,B,71.81,93.35,2
TypeCentral_Length200_Width535_Size3room_LayoutC,Central,200,535,3room,C,71.81,93.35,2
TypeCentral_Length200_Width585_SizeStudio_LayoutA,Central,200,585,Studio,A,72.58,67.74,3
TypeCentral_Length200_Width585_SizeStudio_LayoutB,Central,200,585,Studio,B,72.58,67.74,3
TypeCentral_Length200_Width585_SizeStudio_LayoutC,Central,200,585,Studio,C,72.58,67.74,3
TypeCentral_Length200_Width585_Size2room_LayoutA,Central,200,585,2room,A,72.58,67.74,3
TypeCentral_Length200_Width585_Size2room_LayoutB,Central,200,585,2room,B,72.58,67.74,3
TypeCentral_Length200_Width585_Size2room_LayoutC,Central,200,585,2room,C,72.58,67.74,3
TypeCentral_Length200_Width585_Size3room_LayoutA,Central,200,585,3room,A,72.58,101.61,2
TypeCentral_Length200_Width585_Size3room_LayoutB,Central,200,585,3room,B,72.58,101.61,2
TypeCentral_Length200_Width585_Size3room_LayoutC,Central,200,585,3room,C,72.58,101.61,2
TypeCentral_Length200_Width635_SizeStudio_LayoutA,Central,200,635,Studio,A,77.1,46.26,5
TypeCentral_Length200_Width635_SizeStudio_LayoutB,Central,200,635,Studio,B,77.1,46.26,5
TypeCentral_Length200_Width635_SizeStudio_LayoutC,Central,200,635,Studio,C,77.1,46.26,5
TypeCentral_Length200_Width635_Size2room_LayoutA,Central,200,635,2room,A,77.1,77.1,3
TypeCentral_Length200_Width635_Size2room_LayoutB,Central,200,635,2room,B,77.1,77.1,3
TypeCentral_Length200_Width635_Size2room_LayoutC,Central,200,635,2room,C,77.1,77.1,3
TypeCentral_Length200_Width635_Size3room_LayoutA,Central,200,635,3room,A,77.1,115.65,2
TypeCentral_Length200_Width635_Size3room_LayoutB,Central,200,635,3room,B,77.1,115.65,2
TypeCentral_Length200_Width635_Size3room_LayoutC,Central,200,635,3room,C,77.1,115.65,2
TypeCentral_Length200_Width685_SizeStudio_LayoutA,Central,200,685,Studio,A,77.72,49.74,5
TypeCentral_Length200_Width685_SizeStudio_LayoutB,Central,200,685,Studio,B,77.72,49.74,5
TypeCentral_Length200_Width685_SizeStudio_LayoutC,Central,200,685,Studio,C,77.72,49.74,5
TypeCentral_Length200_Width685_Size2room_LayoutA,Central,200,685,2room,A,77.72,62.17,4
TypeCentral_Length200_Width685_Size2room_LayoutB,Central,200,685,2room,B,77.72,62.17,4
TypeCentral_Length200_Width685_Size2room_LayoutC,Central,200,685,2room,C,77.72,62.17,4
TypeCentral_Length200_Width685_Size3room_LayoutA,Central,200,685,3room,A,77.72,124.35,2
TypeCentral_Length200_Width685_Size3room_LayoutB,Central,200,685,3room,B,77.72,124.35,2
TypeCentral_Length200_Width685_Size3room_LayoutC,Central,200,685,3room,C,77.72,124.35,2
TypeCentral_Length200_Width735_SizeStudio_LayoutA,Central,200,735,Studio,A,78.26,53.22,5
TypeCentral_Length200_Width735_SizeStudio_LayoutB,Central,200,735,Studio,B,78.26,53.22,5
TypeCentral_Length200_Width735_SizeStudio_LayoutC,Central,200,735,Studio,C,78.26,53.22,5
TypeCentral_Length200_Width735_Size2room_LayoutA,Central,200,735,2room,A,78.26,66.52,4
TypeCentral_Length200_Width735_Size2room_LayoutB,Central,200,735,2room,B,78.26,66.52,4
TypeCentral_Length200_Width735_Size2room_LayoutC,Central,200,735,2room,C,78.26,66.52,4
TypeCentral_Length200_Width735_Size3room_LayoutA,Central,200,735,3room,A,78.26,88.7,3
TypeCentral_Length200_Width735_Size3room_LayoutB,Central,200,735,3room,B,78.26,88.7,3
TypeCentral_Length200_Width735_Size3room_LayoutC,Central,200,735,3room,C,78.26,88.7,3
TypeCentral_Length225_Width535_SizeStudio_LayoutA,Central,225,535,Studio,A,73.02,42.71,5
TypeCentral_Length225_Width535_SizeStudio_LayoutB,Central,225,535,Studio,B,73.02,42.71,5
TypeCentral_Length225_Width535_SizeStudio_LayoutC,Central,225,535,Studio,C,73.02,42.71,5
TypeCentral_Length225_Width535_Size2room_LayoutA,Central,225,535,2room,A,73.02,71.19,3
TypeCentral_Length225_Width535_Size2room_LayoutB,Central,225,535,2room,B,73.02,71.19,3
TypeCentral_Length225_Width535_Size2room_LayoutC,Central,225,535,2room,C,73.02,71.19,3
TypeCentral_Length225_Width535_Size3room_LayoutA,Central,225,535,3room,A,73.02,106.78,2
TypeCentral_Length225_Width535_Size3room_LayoutB,Central,225,535,3room,B,73.02,106.78,2
TypeCentral_Length225_Width535_Size3room_LayoutC,Central,225,535,3room,C,73.02,106.78,2
TypeCentral_Length225_Width585_SizeStudio_LayoutA,Central,225,585,Studio,A,73.8,46.49,5
TypeCentral_Length225_Width585_SizeStudio_LayoutB,Central,225,585,Studio,B,73.8,46.49,5
TypeCentral_Length225_Width585_SizeStudio_LayoutC,Central,225,585,Studio,C,73.8,46.49,5
TypeCentral_Length225_Width585_Size2room_LayoutA,Central,225,585,2room,A,73.8,77.49,3
TypeCentral_Length225_Width585_Size2room_LayoutB,Central,225,585,2room,B,73.8,77.49,3
