flyID,in:roomHeight,in:roomWidth,in:roomDepth,in:winWidth,in:winBottom,in:winTop,in:obstruct,out:Norm,out:100lux,out:300lux,out:TotalArea,out:WinWidth,out:WinHeight
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2750_obstruct0,2750,3000,3000,90,900,2750,0,True,100,100,9,2700,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2750_obstruct1000,2750,3000,3000,90,900,2750,1000,True,100,100,9,2700,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2750_obstruct1330,2750,3000,3000,90,900,2750,1330,True,100,100,9,2700,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2750_obstruct1670,2750,3000,3000,90,900,2750,1670,True,100,96.9,9,2700,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2750_obstruct2000,2750,3000,3000,90,900,2750,2000,True,100,93.8,9,2700,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2600_obstruct0,2750,3000,3000,90,900,2600,0,True,100,100,9,2700,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2600_obstruct1000,2750,3000,3000,90,900,2600,1000,True,100,100,9,2700,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2600_obstruct1330,2750,3000,3000,90,900,2600,1330,True,100,100,9,2700,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2600_obstruct1670,2750,3000,3000,90,900,2600,1670,True,100,90.6,9,2700,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2600_obstruct2000,2750,3000,3000,90,900,2600,2000,True,100,90.6,9,2700,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2300_obstruct0,2750,3000,3000,90,900,2300,0,True,100,98.4,9,2700,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2300_obstruct1000,2750,3000,3000,90,900,2300,1000,True,100,93.8,9,2700,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2300_obstruct1330,2750,3000,3000,90,900,2300,1330,True,100,93.8,9,2700,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2300_obstruct1670,2750,3000,3000,90,900,2300,1670,True,100,78.1,9,2700,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2300_obstruct2000,2750,3000,3000,90,900,2300,2000,True,100,71.9,9,2700,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2000_obstruct0,2750,3000,3000,90,900,2000,0,True,100,68.8,9,2700,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2000_obstruct1000,2750,3000,3000,90,900,2000,1000,True,100,68.8,9,2700,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2000_obstruct1330,2750,3000,3000,90,900,2000,1330,True,100,65.6,9,2700,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2000_obstruct1670,2750,3000,3000,90,900,2000,1670,True,100,65.6,9,2700,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom900_winTop2000_obstruct2000,2750,3000,3000,90,900,2000,2000,True,100,60.9,9,2700,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2750_obstruct0,2750,3000,3000,90,0,2750,0,True,100,100,9,2700,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2750_obstruct1000,2750,3000,3000,90,0,2750,1000,True,100,100,9,2700,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2750_obstruct1330,2750,3000,3000,90,0,2750,1330,True,100,100,9,2700,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2750_obstruct1670,2750,3000,3000,90,0,2750,1670,True,100,100,9,2700,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2750_obstruct2000,2750,3000,3000,90,0,2750,2000,True,100,100,9,2700,2730
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2600_obstruct0,2750,3000,3000,90,0,2600,0,True,100,100,9,2700,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2600_obstruct1000,2750,3000,3000,90,0,2600,1000,True,100,100,9,2700,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2600_obstruct1330,2750,3000,3000,90,0,2600,1330,True,100,100,9,2700,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2600_obstruct1670,2750,3000,3000,90,0,2600,1670,True,100,100,9,2700,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2600_obstruct2000,2750,3000,3000,90,0,2600,2000,True,100,100,9,2700,2590
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2300_obstruct0,2750,3000,3000,90,0,2300,0,True,100,100,9,2700,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2300_obstruct1000,2750,3000,3000,90,0,2300,1000,True,100,100,9,2700,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2300_obstruct1330,2750,3000,3000,90,0,2300,1330,True,100,100,9,2700,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2300_obstruct1670,2750,3000,3000,90,0,2300,1670,True,100,96.9,9,2700,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2300_obstruct2000,2750,3000,3000,90,0,2300,2000,True,100,100,9,2700,2290
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2000_obstruct0,2750,3000,3000,90,0,2000,0,True,100,84.4,9,2700,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2000_obstruct1000,2750,3000,3000,90,0,2000,1000,True,100,81.2,9,2700,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2000_obstruct1330,2750,3000,3000,90,0,2000,1330,True,100,81.2,9,2700,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2000_obstruct1670,2750,3000,3000,90,0,2000,1670,True,100,81.2,9,2700,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth90_winBottom0_winTop2000_obstruct2000,2750,3000,3000,90,0,2000,2000,True,100,75,9,2700,1990
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2750_obstruct0,2750,3000,3000,80,900,2750,0,True,100,100,9,2400,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2750_obstruct1000,2750,3000,3000,80,900,2750,1000,True,100,100,9,2400,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2750_obstruct1330,2750,3000,3000,80,900,2750,1330,True,100,96.9,9,2400,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2750_obstruct1670,2750,3000,3000,80,900,2750,1670,True,100,85.9,9,2400,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2750_obstruct2000,2750,3000,3000,80,900,2750,2000,True,100,81.2,9,2400,1840
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2600_obstruct0,2750,3000,3000,80,900,2600,0,True,100,100,9,2400,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2600_obstruct1000,2750,3000,3000,80,900,2600,1000,True,100,100,9,2400,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2600_obstruct1330,2750,3000,3000,80,900,2600,1330,True,100,95.3,9,2400,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2600_obstruct1670,2750,3000,3000,80,900,2600,1670,True,100,84.4,9,2400,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2600_obstruct2000,2750,3000,3000,80,900,2600,2000,True,100,75,9,2400,1700
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2300_obstruct0,2750,3000,3000,80,900,2300,0,True,100,93.8,9,2400,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2300_obstruct1000,2750,3000,3000,80,900,2300,1000,True,100,87.5,9,2400,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2300_obstruct1330,2750,3000,3000,80,900,2300,1330,True,100,81.2,9,2400,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2300_obstruct1670,2750,3000,3000,80,900,2300,1670,True,100,71.9,9,2400,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2300_obstruct2000,2750,3000,3000,80,900,2300,2000,True,100,62.5,9,2400,1400
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2000_obstruct0,2750,3000,3000,80,900,2000,0,True,100,62.5,9,2400,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2000_obstruct1000,2750,3000,3000,80,900,2000,1000,True,100,62.5,9,2400,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2000_obstruct1330,2750,3000,3000,80,900,2000,1330,True,100,59.4,9,2400,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2000_obstruct1670,2750,3000,3000,80,900,2000,1670,True,100,56.3,9,2400,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom900_winTop2000_obstruct2000,2750,3000,3000,80,900,2000,2000,False,100,48.4,9,2400,1100
roomHeight2750_roomWidth3000_roomDepth3000_winWidth80_winBottom0_winTop2750_obstruct0,2750,3000,3000,80,0,2750,0,True,100,100,9,2400,2730
