flyID;in:A2;in:B2;in:B4;in:TA2high;in:TA2low;in:A1;in:TB1;in:TB3;out:OutTotalOpbrengstenConv;out:OutprofitpercConv;out:OutprofitpercbarsetPlus1;out:OutTotalOpbrengstenbarsetPlus1;out:OutTotalOpbrengstenbarset;out:Outprofitpercbarset;out:OutTotalOpbrengstenbarsetMinus1;out:OutprofitpercbarsetMinus1;out:TotalKosten;out:bouwkosten;out:TotalAptAmount;out:TotalBVOCommercial;out:TotalBVOCarStorage;out:TotalGOSocialSpaces;out:TotalBVOBikeStorage;out:TotalBVOwonen;out:TotalBVOinclloggia;out:TotalBVOexclloggia;out:BVOloggia;out:TotalGO;out:GOBVOratio;out:SStudentperc;out:S2kamerperc;out:S3kamerperc;out:M2kamerperc;out:M3kamerperc;out:M2kamerhperc;out:M3kamerhperc;out:M4kamerhperc;out:V3kamerkperc;out:V4kamerkperc;out:VGGBkperc;out:SStudioperc;out:V5kamerkperc;out:socialperc;out:midperc;out:vrijperc;out:AvgGOSStudent;out:AvgGOS2kamer;out:AvgGOS3kamer;out:AvgGOM2kamer;out:AvgGOM3kamer;out:AvgGOM2kamerh;out:AvgGOM3kamerh;out:AvgGOM4kamerh;out:AvgGOV3kamerk;out:AvgGOV4kamerk;out:AvgGOVGGBk;out:AvgGOSStudio;out:AvgGOV5kamerk;out:socialAvgGO;out:midAvgGO;out:vrijAvgGO;out:parkingsurplus;out:parkingavailable;out:parkingrequired;out:TotalBVOCarParkingSurplus;out:fietssurplus;out:fietsavailable;out:fietsrequired
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p1Vrijk;p1Vrijk;Mh;Mh;143.1;-11;-87;21.1;21.6;-87;22.1;-86;160.7;101.8;721;4514;15317;271;2060;47996;50339;47349;2990;33422;0.7;26.1;14.6;4.2;0.3;0.6;3.5;8;11;12.8;4.3;2.2;11.5;1.1;56;23;21;23;40;55;50;49;51;55;65;57;74;157;28;116;31;59;76;48.4;394;345.6;3221;126;1956;1830
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p1Vrijk;p1Vrijk;p1Vrijk;Mh;MVh;143.6;-11;-87;21.1;21.6;-87;22.1;-86;160.9;102;721;4514;15317;271;2060;47996;50339;47349;2990;33422;0.7;26.1;14.6;4.2;0.3;0.6;3.5;8;8.3;15.4;4.3;2.2;11.5;1.1;55;21;24;23;40;55;50;49;51;55;64;59;74;157;28;116;31;58;75;48.4;394;345.6;3221;126;1956;1830
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p1Vrijk;p2Vrijk;Mh;Mh;144.9;-11;-87;21.2;21.6;-87;22.2;-86;162.1;102.9;725;4514;15317;271;2060;48534;50877;47847;3030;33855;0.7;25.9;14.5;4.1;0.3;0.6;3.4;8;10.9;12.1;5.4;2.2;11.4;1.1;55;23;22;23;40;55;50;49;51;55;65;57;74;157;28;128;31;59;78;45.2;394;348.8;3109;102;1956;1854
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp1Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p1Vrijk;p1Vrijk;p2Vrijk;Mh;MVh;145.5;-10;-87;21.2;21.6;-87;22.2;-86;162.3;103;725;4514;15317;271;2060;48534;50877;47847;3030;33855;0.7;25.9;14.5;4.1;0.3;0.6;3.4;8;8.3;14.8;5.4;2.2;11.4;1.1;55;21;24;23;40;55;50;49;51;55;64;59;74;157;28;128;31;58;77;45.2;394;348.8;3109;102;1956;1854
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p1Vrijk;Mh;Mh;143.3;-11;-87;21;21.6;-87;22;-86;160.4;101.6;714;4514;15317;271;2060;47987;50330;47368;2962;33477;0.7;26.3;14.7;4.2;0.3;0.6;3.5;8.1;11.1;10.9;4.3;2.2;11.6;2.1;55;24;21;23;40;55;50;49;51;55;65;60;75;157;28;105;31;59;81;50.8;394;343.2;3305;126;1956;1830
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p1Vrijk;Mh;MVh;143.8;-11;-87;21;21.6;-87;22;-86;160.7;101.8;714;4514;15317;271;2060;47987;50330;47368;2962;33477;0.7;26.3;14.7;4.2;0.3;0.6;3.5;8.1;8.4;13.6;4.3;2.2;11.6;2.1;55;21;24;23;40;55;50;49;51;55;64;61;75;157;28;105;31;58;80;50.8;394;343.2;3305;126;1956;1830
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p2Vrijk;Mh;Mh;145.2;-10;-87;21.1;21.6;-87;22.1;-86;161.9;102.7;718;4514;15317;271;2060;48543;50886;47884;3002;33910;0.7;26.2;14.6;4.2;0.3;0.6;3.5;8.1;11;10.3;5.4;2.2;11.6;2.1;55;23;22;23;40;55;50;49;51;55;65;59;75;157;28;112;31;59;82;47.6;394;346.4;3193;102;1956;1854
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p2Vrijk;Mh;MVh;145.7;-10;-87;21.1;21.6;-87;22.1;-86;162.1;102.9;718;4514;15317;271;2060;48543;50886;47884;3002;33910;0.7;26.2;14.6;4.2;0.3;0.6;3.5;8.1;8.4;13;5.4;2.2;11.6;2.1;54;21;25;23;40;55;50;49;51;55;64;61;75;157;28;112;31;58;81;47.6;394;346.4;3193;102;1956;1854
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p1Vrijk;Mh;Mh;143.3;-11;-87;21;21.6;-87;22;-86;160.4;101.6;714;4514;15317;271;2060;47987;50330;47368;2962;33477;0.7;26.3;14.7;4.2;0.3;0.6;3.5;8.1;11.1;10.9;4.3;2.2;11.6;2.1;55;24;21;23;40;55;50;49;51;55;65;60;75;157;28;105;31;59;81;50.8;394;343.2;3305;126;1956;1830
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p1Vrijk_TB1Mh_TB3MVh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p1Vrijk;Mh;MVh;143.8;-11;-87;21;21.6;-87;22;-86;160.7;101.8;714;4514;15317;271;2060;47987;50330;47368;2962;33477;0.7;26.3;14.7;4.2;0.3;0.6;3.5;8.1;8.4;13.6;4.3;2.2;11.6;2.1;55;21;24;23;40;55;50;49;51;55;64;61;75;157;28;105;31;58;80;50.8;394;343.2;3305;126;1956;1830
A2375Social_B254Social_B4375Social_TA2highp1Vrijk_TA2lowp2Vrijk_A1p2Vrijk_TB1Mh_TB3Mh;375Social;54Social;375Social;p1Vrijk;p2Vrijk;p2Vrijk;Mh;Mh;145.2;-10;-87;21.1;21.6;-87;22.1;-86;161.9;102.7;718;4514;15317;271;2060;48543;50886;47884;3002;33910;0.7;26.2;14.6;4.2;0.3;0.6;3.5;8.1;11;10.3;5.4;2.2;11.6;2.1;55;23;22;23;40;55;50;49;51;55;65;59;75;157;28;112;31;59;82;47.6;394;346.4;3193;102;1956;1854
