,flyID,in:PnlWidth,in:SillP,in:SillA,in:OpenEW,in:OpenNS,in:ExtP,in:ExtAEW,in:Mat,in:Glaz,out:CoEqTotal,out:CoEqYear,out:TotalKwh,out:PerMKwh,out:FramesTyp,out:FramesAtyp,out:SpaceInt,out:SpaceExt,out:MinStreefPent,out:MinStreefApt,out:StreefPent,out:StreefApt
0,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,A,Max,Max,Balc,Balc,A,A,129400,143120,318044,62.2,300,388,486.76,5113.2,65.1,48.8,35.1,36.1
1,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,A,Max,Max,Balc,Balc,A,B,137600,128370,285266,55.79,300,388,486.76,5113.2,65.1,48.8,35.1,36.1
2,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazA,22,A,A,Max,Max,Balc,Balc,B,A,151500,138984,308854,60.4,300,388,486.76,5113.2,65.1,48.8,35.1,36.1
3,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWBalc_MatB_GlazB,22,A,A,Max,Max,Balc,Balc,B,B,159700,124234,276076,53.99,300,388,486.76,5113.2,65.1,48.8,35.1,36.1
4,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazA,22,A,A,Max,Max,Balc,Log,A,A,130900,147170,327044,65.31,380,388,451.56,5007.6,65.3,55.0,35.6,44.2
5,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatA_GlazB,22,A,A,Max,Max,Balc,Log,A,B,139100,132420,294266,58.76,380,388,451.56,5007.6,65.3,55.0,35.6,44.2
6,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazA,22,A,A,Max,Max,Balc,Log,B,A,157300,142224,316054,63.11,380,388,451.56,5007.6,65.3,55.0,35.6,44.2
7,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPBalc_ExtAEWLog_MatB_GlazB,22,A,A,Max,Max,Balc,Log,B,B,165500,127474,283276,56.57,380,388,451.56,5007.6,65.3,55.0,35.6,44.2
8,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazA,22,A,A,Max,Max,Log,Balc,A,A,129500,143525,318944,62.64,308,388,479.72,5092.08,63.1,49.0,29.7,35.9
9,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatA_GlazB,22,A,A,Max,Max,Log,Balc,A,B,137700,128775,286166,56.2,308,388,479.72,5092.08,63.1,49.0,29.7,35.9
10,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatB_GlazA,22,A,A,Max,Max,Log,Balc,B,A,152000,139308,309574,60.8,308,388,479.72,5092.08,63.1,49.0,29.7,35.9
11,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWBalc_MatB_GlazB,22,A,A,Max,Max,Log,Balc,B,B,160200,124558,276796,54.36,308,388,479.72,5092.08,63.1,49.0,29.7,35.9
12,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatA_GlazA,22,A,A,Max,Max,Log,Log,A,A,131000,147575,327944,65.77,388,388,444.52,4986.48,63.0,56.0,29.9,44.4
13,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatA_GlazB,22,A,A,Max,Max,Log,Log,A,B,139200,132825,295166,59.19,388,388,444.52,4986.48,63.0,56.0,29.9,44.4
14,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatB_GlazA,22,A,A,Max,Max,Log,Log,B,A,157800,142548,316774,63.53,388,388,444.52,4986.48,63.0,56.0,29.9,44.4
15,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMax_ExtPLog_ExtAEWLog_MatB_GlazB,22,A,A,Max,Max,Log,Log,B,B,166000,127798,283996,56.95,388,388,444.52,4986.48,63.0,56.0,29.9,44.4
16,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWBalc_MatA_GlazA,22,A,A,Max,Med,Balc,Balc,A,A,127500,139814,310698,60.76,300,388,486.76,5113.2,62.5,48.5,32.1,35.8
17,PnlWidth22_SillPA_SillAA_OpenEWMax_OpenNSMed_ExtPBalc_ExtAEWBalc_MatA_GlazB,22,A,A,Max,Med,Balc,Balc,A,B,134700,126953,282117,55.17,300,388,486.76,5113.2,62.5,48.5,32.1,35.8
