flyID,in:SpanT1,in:SpanT2,in:RijwonenAandeelPlint,in:TypeWoningen,in:SociaalOplossing,in:Verdiepingen,in:Toren1AandeelPlint,in:Toren2AandeelPlint,out:grw,out:socgrw,out:midgrw,out:koopgrw,out:pp,out:socprc,out:midprc,out:koopprc,out:GO,out:GOsoc,out:GOmid,out:GOkoop,out:BVO,out:BVOsoc,out:BVOmid,out:BVOkoop,out:t1bon,out:t2bon,out:Soc49,out:Soc50,out:mid59,out:mid69,out:koop79,out:koop89,out:koop109,out:koop129,out:koop131,out:GGW3LAPP,out:GGW4LAPP,out:WoningenTotaal
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GGW,Toren,Drie,commercieel,commercieel,11.4,1,3.5,6.9,254.5,24,36,39,17370,2856,5184,9330,23778,3962,7314,12502,3,3,14,42,18,66,36,0,8,12,0,34,0,230
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Toren,Drie,commercieel,wonen,10.6,0.8,3,6.8,227.9,23,35,40,15913,2448,4440,9025,21715,3396,6264,12055,3,0,12,36,16,56,24,0,10,15,0,34,0,203
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GGW,Toren,Drie,half,commercieel,10.6,1,3.2,6.4,238.6,25,35,39,16283,2856,4692,8735,22223,3962,6620,11641,1,3,14,42,16,60,36,0,6,9,0,34,0,217
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Toren,Drie,half,wonen,9.6,0.8,3,5.8,213.3,24,37,37,14723,2448,4440,7835,19993,3396,6264,10333,1,0,12,36,16,56,24,0,6,9,0,34,0,193
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GGW,Toren,Vier,commercieel,commercieel,11.8,1,3.5,7.3,260.2,24,36,39,17880,2856,5184,9840,24390,3962,7314,13114,3,3,14,42,18,66,36,0,8,12,0,0,34,230
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Toren,Vier,commercieel,wonen,10.9,0.8,3,7.1,233.7,23,35,40,16423,2448,4440,9535,22327,3396,6264,12667,3,0,12,36,16,56,24,0,10,15,0,0,34,203
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GGW,Toren,Vier,half,commercieel,10.9,1,3.2,6.8,244.4,25,35,39,16793,2856,4692,9245,22835,3962,6620,12253,1,3,14,42,16,60,36,0,6,9,0,0,34,217
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Toren,Vier,half,wonen,9.9,0.8,3,6.1,219.1,24,37,37,15233,2448,4440,8345,20605,3396,6264,10945,1,0,12,36,16,56,24,0,6,9,0,0,34,193
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GGW,Beneden,Drie,commercieel,commercieel,13.6,1.1,3,9.5,264.1,29,29,40,19553,3480,4428,11645,27443,4854,6246,16343,3,3,66,6,18,54,0,0,32,48,0,17,0,241
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GGW,Beneden,Drie,commercieel,wonen,12,1.1,3,8,242.2,31,31,36,17768,3480,4428,9860,24860,4854,6246,13760,3,0,66,6,18,54,0,0,26,39,0,17,0,226
